A_0	A_1	R_0	R_1	R_2	R_3	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
#	#	1	#	1	1	1	0.502	0.871	3	60.36	977	190	0.50		88	101
#	1	1	#	#	0	0	0.222	0.740	2	48.68	960	199	0.50		74	100
#	#	1	#	0	1	1	0.102	0.634	1	52.40	999	203	0.50		64	101
1	#	#	0	#	1	1	0.254	0.760	5	63.23	977	205	0.50		76	100
1	#	0	#	#	1	1	0.241	0.753	3	64.80	973	205	0.50		73	97
#	0	#	1	#	0	1	0.033	0.505	2	69.54	990	208	0.50		50	99
0	#	#	1	#	#	0	0.001	0.251	1	51.64	856	216	0.33		50	199
#	#	#	0	0	0	0	0.513	0.875	1	70.52	997	229	0.50		84	96
1	#	1	#	#	#	0	0.030	0.497	1	70.10	997	229	0.33		96	193
#	0	1	#	#	0	1	0.237	0.750	9	68.18	990	230	0.50		72	96
#	0	0	1	#	#	0	0.246	0.755	1	66.62	856	234	0.50		71	94
1	0	0	1	#	0	1	0.025	0.478	1	71.59	951	247	0.83		11	23
1	#	#	#	0	#	0	0.235	0.749	5	71.57	997	249	0.33		140	187
#	#	1	1	#	1	1	0.505	0.872	2	60.23	999	254	0.50		82	94
#	#	1	#	1	#	1	0.233	0.747	1	54.82	990	254	0.33		139	186
1	#	0	#	0	#	1	0.001	0.250	1	70.77	973	259	0.50		23	92
#	1	1	#	#	#	0	0.030	0.495	1	50.09	989	263	0.33		92	186
0	#	#	#	0	1	1	0.031	0.500	2	46.72	971	267	0.50		46	92
0	0	1	#	#	1	1	1.000	1.000	4	48.93	971	267	0.67		45	45
#	#	0	0	#	1	1	0.008	0.382	1	54.09	973	269	0.50		34	89
1	0	1	#	#	0	1	0.028	0.489	1	72.49	880	272	0.67		22	45
#	1	#	#	0	#	0	0.030	0.497	2	51.74	960	291	0.33		88	177
#	#	0	#	0	#	0	0.247	0.756	2	61.11	975	306	0.33		130	172
0	#	1	1	1	1	0	0.000	0.000	1	47.22	318	318	0.83		0	20
#	#	1	#	#	#	1	0.097	0.627	3	58.38	999	318	0.17		215	343
#	0	1	#	#	#	1	0.247	0.756	6	66.07	990	326	0.33		127	168
1	1	#	#	#	1	1	1.000	1.000	9	64.69	999	333	0.50		84	84
0	0	0	0	#	#	1	0.000	0.000	1	56.67	335	335	0.67		0	40
#	#	0	#	1	0	1	0.006	0.361	1	37.62	951	342	0.50		30	83
#	1	1	#	1	#	0	0.029	0.494	2	49.59	989	349	0.50		40	81
#	1	1	0	#	#	0	0.242	0.753	2	53.63	989	349	0.50		61	81
#	#	0	1	0	#	0	0.095	0.625	1	61.34	914	352	0.50		50	80
1	#	#	1	#	1	1	0.232	0.747	2	69.54	999	361	0.50		59	79
#	#	#	#	0	1	1	0.029	0.494	2	55.64	999	369	0.33		78	158
#	1	0	#	0	#	1	0.027	0.487	1	47.52	973	369	0.50		38	78
#	#	#	#	0	0	0	0.230	0.745	1	63.73	997	373	0.33		117	157
#	#	0	#	1	#	1	0.028	0.490	1	43.83	951	406	0.33		73	149
0	0	0	#	#	#	0	1.000	1.000	12	59.63	975	408	0.50		74	74
#	#	1	1	#	0	1	0.103	0.635	2	55.11	990	414	0.50		47	74
#	0	0	#	0	#	0	1.000	1.000	8	75.67	975	426	0.50		71	71
#	1	1	#	1	0	0	0.226	0.743	1	41.74	903	431	0.67		26	35
#	0	1	#	#	0	0	0.001	0.257	1	68.18	997	432	0.50		18	70
#	0	#	#	#	#	1	0.030	0.495	1	66.42	990	439	0.17		138	279
#	1	1	0	#	0	0	1.000	1.000	13	59.97	960	455	0.67		34	34
0	#	1	#	#	1	0	0.001	0.265	1	44.78	989	459	0.50		18	68
#	0	1	1	0	1	1	0.031	0.500	1	51.37	971	459	0.83		8	16
#	0	0	#	1	#	0	0.031	0.500	1	53.28	856	476	0.50		32	64
#	1	1	0	1	1	0	0.031	0.500	2	51.32	989	477	0.83		8	16
1	#	#	1	0	#	1	0.001	0.254	1	69.99	999	491	0.50		16	63
#	0	0	#	#	#	1	0.001	0.242	1	65.34	951	498	0.33		30	124
#	#	1	0	0	0	1	0.001	0.258	1	68.84	966	512	0.67		8	31
1	#	#	1	1	#	1	0.224	0.741	2	58.15	951	521	0.50		43	58
0	0	1	#	#	1	0	0.000	0.000	1	48.94	523	523	0.67		0	29
1	#	0	0	0	1	1	0.031	0.500	1	61.40	973	525	0.83		7	14
1	#	0	#	0	1	1	0.031	0.500	1	66.84	973	525	0.67		14	28
1	#	#	#	1	#	1	0.227	0.744	3	52.37	977	528	0.33		87	117
1	0	1	1	#	#	1	0.031	0.500	1	70.95	905	528	0.67		14	28
#	1	#	#	#	#	1	0.033	0.506	2	45.94	999	533	0.17		119	235
#	1	0	#	0	0	1	0.001	0.250	1	45.99	917	533	0.67		7	28
#	0	#	0	0	0	0	0.237	0.750	1	73.71	997	549	0.67		21	28
#	0	#	#	0	#	0	0.234	0.748	5	69.23	997	554	0.33		83	111
#	#	1	#	#	1	1	0.237	0.750	2	53.89	999	574	0.33		81	108
1	#	1	#	0	#	0	0.208	0.731	1	69.50	997	575	0.50		38	52
#	0	#	1	0	#	0	0.208	0.731	1	69.55	959	575	0.50		38	52
0	0	#	#	#	0	1	0.031	0.500	1	63.28	990	582	0.50		26	52
1	1	1	0	#	#	0	0.026	0.481	1	65.03	903	583	0.67		13	27
1	0	#	#	0	#	0	1.000	1.000	8	81.55	997	588	0.50		49	49
#	0	1	#	1	#	1	1.000	1.000	8	63.18	990	606	0.50		48	48
1	#	0	#	#	1	0	0.001	0.255	1	64.80	844	617	0.50		12	47
1	0	0	1	#	1	1	0.019	0.455	1	63.25	937	617	0.83		5	11
0	0	0	#	#	#	1	0.000	0.000	1	59.63	618	618	0.50		0	47
1	#	#	0	#	0	0	0.255	0.761	2	61.72	997	629	0.50		35	46
1	#	0	#	#	0	1	0.001	0.239	1	49.60	951	631	0.50		11	46
#	#	1	#	#	0	1	0.033	0.506	1	61.35	990	646	0.33		45	89
#	#	0	#	0	#	1	0.001	0.247	1	61.11	973	661	0.33		20	81
#	1	#	1	#	#	1	0.242	0.753	1	44.63	999	685	0.33		58	77
1	#	#	1	1	#	0	0.001	0.243	1	58.15	994	695	0.50		9	37
#	0	#	#	1	0	1	0.215	0.735	3	59.65	990	720	0.50		25	34
#	#	1	0	0	0	0	0.237	0.750	1	68.90	997	741	0.67		12	16
1	#	#	#	0	1	1	0.027	0.484	1	65.36	999	748	0.50		15	31
1	#	0	0	0	0	0	1.000	1.000	1	71.71	949	757	0.83		7	7
1	#	#	#	0	0	0	1.000	1.000	9	76.99	997	757	0.50		30	30
#	0	#	1	1	0	1	0.212	0.733	4	61.97	990	759	0.67		11	15
1	#	0	#	#	#	1	0.026	0.481	1	53.00	973	781	0.33		25	52
#	1	#	#	#	1	1	0.237	0.750	1	54.37	999	807	0.33		36	48
1	#	1	1	#	1	1	0.237	0.750	1	68.44	999	807	0.67		9	12
#	0	0	#	0	#	1	0.000	0.000	1	75.69	810	810	0.50		0	23
1	#	#	#	1	0	1	0.024	0.476	1	44.32	951	823	0.50		10	21
#	1	#	0	0	#	0	0.186	0.714	1	53.86	960	832	0.50		15	21
#	#	1	0	0	#	0	0.072	0.591	1	60.56	997	832	0.50		13	22
1	1	#	#	1	#	1	0.023	0.471	1	48.95	977	865	0.50		8	17
0	1	#	#	0	#	0	0.031	0.500	1	41.26	960	867	0.50		8	16
#	0	#	#	1	#	1	0.159	0.692	1	60.53	990	887	0.33		18	26
#	0	1	#	0	#	0	0.014	0.429	1	64.00	997	889	0.50		6	14
#	#	#	#	#	1	1	0.095	0.625	1	55.60	999	935	0.17		20	32
#	#	#	1	#	1	1	0.212	0.733	1	60.03	999	937	0.33		11	15
1	#	0	#	#	0	0	0.186	0.714	2	55.53	994	949	0.50		5	7
1	#	#	#	0	#	1	0.004	0.333	1	74.10	999	959	0.33		3	9
#	1	1	0	#	1	0	1.000	1.000	1	39.00	989	989	0.67		1	1
#	1	#	0	1	#	0	0.000	0.000	1	61.00	989	989	0.50		0	1
