A_0	A_1	R_0	R_1	R_2	R_3	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
1	#	0	#	#	0	0	0.237	0.750	4	149.17	5970	949	0.50		473	631
#	1	#	0	1	#	0	0.235	0.749	8	149.32	5981	989	0.50		468	625
#	1	0	0	0	#	0	0.235	0.748	1	165.12	5372	1020	0.67		232	310
#	0	#	#	#	#	0	0.031	0.499	2	157.41	5989	1029	0.17		1239	2483
#	0	1	#	0	0	1	0.031	0.500	1	160.25	5894	1030	0.67		155	310
#	0	1	#	#	1	1	0.239	0.751	3	173.24	5979	1035	0.50		464	618
1	#	#	#	#	0	0	0.238	0.750	8	155.41	5999	1061	0.33		926	1234
0	#	1	#	#	1	1	0.235	0.748	4	154.54	5979	1099	0.50		458	612
#	0	1	1	#	1	1	0.237	0.750	1	196.23	5944	1099	0.67		228	304
#	1	#	#	#	0	0	0.237	0.750	11	144.15	5999	1135	0.33		912	1216
0	#	1	#	1	#	1	0.235	0.749	1	169.54	5988	1150	0.50		453	605
0	#	1	1	#	#	1	1.000	1.000	22	171.85	5988	1163	0.50		605	605
0	0	#	1	1	#	1	0.031	0.500	1	175.79	5944	1182	0.67		150	300
#	1	#	#	1	1	1	0.237	0.750	1	162.49	5985	1197	0.50		450	600
0	0	#	#	0	#	1	0.031	0.499	1	149.73	5979	1243	0.50		297	595
#	#	1	1	#	#	1	0.236	0.749	7	159.35	5988	1254	0.33		889	1187
#	#	#	1	1	#	1	0.237	0.750	4	152.96	5988	1271	0.33		887	1183
#	#	1	1	1	#	1	0.512	0.875	9	184.06	5988	1272	0.50		517	591
1	1	#	#	#	0	0	1.000	1.000	24	150.54	5999	1298	0.50		589	589
#	#	0	#	1	#	0	0.031	0.499	1	146.39	5916	1304	0.33		586	1174
1	#	1	#	#	0	0	0.239	0.751	3	163.32	5999	1317	0.50		440	586
#	0	#	1	1	#	1	0.237	0.750	6	172.76	5968	1335	0.50		437	583
0	#	#	1	1	#	1	0.237	0.750	4	162.13	5988	1336	0.50		437	583
#	0	1	0	#	0	1	0.235	0.748	1	160.83	5894	1350	0.67		217	290
0	#	1	#	#	#	1	0.238	0.750	6	151.84	5988	1374	0.33		868	1157
0	0	#	#	#	#	0	0.031	0.500	1	151.04	5967	1423	0.33		572	1144
0	0	1	#	#	#	1	1.000	1.000	34	163.70	5979	1435	0.50		571	571
#	1	#	1	#	1	1	1.000	1.000	19	167.49	5996	1457	0.50		567	567
#	#	1	#	0	#	0	0.031	0.499	1	153.35	5989	1471	0.33		565	1133
#	1	#	0	#	0	0	1.000	1.000	30	169.99	5952	1472	0.50		566	566
0	1	0	#	0	#	1	0.031	0.500	1	147.99	5973	1493	0.67		140	280
1	0	#	#	1	#	1	1.000	1.000	28	169.40	5968	1527	0.50		558	558
#	#	#	0	#	0	0	0.237	0.750	7	168.82	5989	1600	0.33		825	1100
1	1	#	0	#	#	1	0.032	0.501	1	158.02	5985	1613	0.50		275	549
#	#	#	0	1	#	0	0.031	0.500	1	152.82	5981	1652	0.33		543	1085
1	#	0	#	0	#	0	0.236	0.749	3	161.61	5970	1658	0.50		406	542
#	#	1	0	#	0	0	0.094	0.624	1	166.41	5989	1701	0.50		335	537
#	#	#	0	#	#	0	0.095	0.624	2	153.07	5989	1701	0.17		1340	2146
0	1	#	1	#	#	1	1.000	1.000	25	153.17	5988	1749	0.50		533	533
0	#	#	#	#	#	0	0.031	0.500	1	146.88	5981	1756	0.17		1060	2122
#	0	0	#	1	0	1	0.031	0.498	1	125.65	5943	1783	0.67		131	263
0	#	#	1	1	1	1	0.234	0.748	1	181.10	5944	1790	0.67		196	262
#	#	#	0	0	#	0	0.236	0.749	4	156.92	5989	1807	0.33		783	1045
0	#	0	1	1	#	1	0.031	0.498	1	133.11	5933	1814	0.67		131	263
#	1	#	0	#	#	0	0.237	0.750	7	142.53	5981	1821	0.33		781	1042
0	#	#	1	#	#	1	0.236	0.749	8	151.97	5988	1823	0.33		783	1045
#	1	0	#	#	0	0	0.237	0.750	6	140.37	5970	1826	0.50		390	520
#	#	0	#	0	0	0	0.512	0.875	1	161.65	5970	1845	0.50		454	519
0	1	#	#	1	1	1	0.031	0.500	1	155.97	5933	1901	0.67		128	256
#	0	0	0	#	#	0	0.237	0.750	7	165.93	5967	1906	0.50		383	511
#	0	#	#	0	1	0	0.234	0.748	4	150.71	5951	1919	0.50		380	508
0	#	1	#	#	0	1	0.239	0.751	5	155.83	5988	1926	0.50		383	510
1	#	0	0	#	#	0	0.031	0.499	1	161.27	5591	1933	0.50		253	507
0	0	#	#	#	1	1	0.031	0.499	1	153.55	5979	1947	0.50		252	505
0	1	#	#	#	1	1	0.031	0.500	1	147.49	5933	1965	0.50		252	504
#	#	#	#	1	#	1	0.095	0.625	3	150.02	5988	2004	0.17		1248	1998
#	#	0	0	#	#	0	0.237	0.750	4	161.97	5967	2034	0.33		743	991
0	#	1	0	#	#	1	0.031	0.499	1	136.63	5979	2054	0.50		246	493
#	#	#	#	#	0	0	0.095	0.624	2	148.45	5999	2183	0.17		1192	1909
#	0	#	1	1	1	1	0.236	0.749	1	188.29	5944	2232	0.67		176	235
1	#	0	#	1	#	1	0.235	0.748	2	149.51	5985	2248	0.50		351	469
#	0	1	0	#	1	1	0.237	0.750	1	152.48	5979	2267	0.67		174	232
#	#	0	0	0	#	0	0.512	0.875	2	176.44	5967	2290	0.50		405	463
#	1	#	1	1	#	1	0.236	0.749	3	150.99	5988	2302	0.50		347	463
0	#	0	#	0	#	0	0.239	0.751	5	151.11	5967	2354	0.50		341	454
#	1	0	#	#	#	1	0.032	0.501	1	143.24	5996	2381	0.33		453	904
#	1	1	1	#	#	1	0.236	0.749	4	159.76	5988	2430	0.50		335	447
0	#	0	0	#	#	0	1.000	1.000	18	161.79	5967	2482	0.50		439	439
#	#	#	1	#	#	1	0.095	0.625	2	147.08	5996	2517	0.17		1090	1745
1	0	#	#	#	#	1	0.031	0.499	2	173.53	5968	2615	0.33		422	845
0	#	1	#	1	1	1	0.234	0.748	1	187.02	5944	2616	0.67		157	210
#	0	1	1	#	#	1	0.236	0.749	2	179.47	5968	2616	0.50		317	423
#	1	1	#	1	1	1	0.232	0.746	1	177.16	5886	2705	0.67		153	205
#	0	1	0	#	#	1	0.236	0.749	3	158.79	5979	2928	0.50		287	383
#	0	0	#	#	1	0	0.233	0.747	2	154.66	5938	3020	0.50		278	372
1	1	1	#	#	#	0	0.031	0.500	2	155.68	5999	3183	0.50		176	352
#	#	#	0	#	1	1	0.032	0.503	1	142.41	5985	3341	0.33		334	664
0	1	#	0	#	#	0	1.000	1.000	22	138.84	5981	3421	0.50		321	321
#	0	1	#	0	1	0	0.029	0.493	1	145.24	5951	3583	0.67		74	150
1	1	#	#	#	#	0	0.032	0.501	1	147.17	5999	3602	0.33		301	601
#	1	#	#	1	0	0	0.235	0.748	1	140.11	5999	3719	0.50		214	286
#	0	#	#	0	0	0	0.235	0.748	1	164.23	5989	3749	0.50		211	282
0	#	#	0	0	#	0	0.233	0.747	1	147.39	5967	3776	0.50		207	277
0	#	#	1	0	#	1	0.233	0.747	3	147.51	5973	3797	0.50		207	277
#	1	0	#	#	1	1	0.242	0.753	3	147.89	5996	3917	0.50		195	259
0	#	#	1	#	1	1	0.234	0.748	1	165.67	5944	3935	0.50		193	258
1	1	0	#	#	#	1	0.031	0.498	1	147.57	5996	3981	0.50		126	253
0	1	1	#	1	#	0	0.030	0.496	1	159.57	5981	3997	0.67		62	125
0	1	0	#	#	#	1	0.031	0.500	2	141.19	5973	4013	0.50		124	248
0	0	#	#	#	#	1	0.031	0.500	1	151.04	5979	4059	0.33		243	486
1	0	#	#	0	#	1	0.000	0.000	1	175.82	4069	4069	0.50		0	240
#	1	#	#	0	1	1	0.239	0.751	3	142.87	5996	4109	0.50		178	237
#	1	#	1	#	0	1	0.031	0.500	1	138.33	5988	4117	0.50		119	238
#	#	0	0	#	0	0	0.515	0.876	1	169.82	5967	4175	0.50		197	225
#	#	#	1	1	0	1	0.092	0.620	1	143.79	5988	4246	0.50		137	221
0	1	#	#	#	#	0	0.031	0.499	1	144.81	5981	4288	0.33		213	427
#	0	0	#	0	#	1	0.000	0.000	1	164.41	4303	4303	0.50		0	210
#	0	#	0	#	#	1	0.032	0.501	1	162.74	5979	4315	0.33		210	419
0	0	0	#	0	0	1	0.000	0.000	1	161.25	4431	4431	0.83		0	49
#	1	#	1	0	#	1	0.235	0.749	1	150.68	5996	4511	0.50		140	187
#	0	#	#	#	1	0	0.030	0.496	1	159.71	5951	4543	0.33		179	361
0	#	#	0	#	#	0	0.234	0.748	5	142.74	5981	4544	0.33		270	361
1	1	0	#	#	#	0	0.031	0.500	1	147.57	5970	4562	0.50		90	180
#	#	1	0	#	#	1	0.031	0.499	1	149.98	5979	4614	0.33		173	347
1	#	1	#	#	#	0	0.031	0.500	1	160.93	5999	4655	0.33		168	336
1	#	#	0	1	#	1	0.240	0.752	2	159.50	5985	4833	0.50		109	145
0	#	0	#	0	0	0	0.237	0.750	1	155.72	5967	4906	0.67		51	68
#	1	#	#	0	0	0	0.231	0.746	1	157.75	5970	4992	0.50		94	126
0	#	1	0	0	1	1	0.026	0.481	1	120.07	5979	5147	0.83		13	27
1	0	0	#	1	#	0	0.000	0.000	1	147.06	5192	5192	0.67		0	50
1	#	#	0	0	1	1	0.035	0.510	1	143.06	5965	5197	0.67		25	49
0	#	0	#	1	0	0	0.229	0.745	1	127.91	5916	5243	0.67		35	47
1	#	#	#	1	1	0	0.000	0.000	2	174.87	5281	5281	0.50		0	90
0	0	0	#	#	#	1	0.000	0.000	1	143.22	5290	5290	0.50		0	88
0	1	#	0	#	#	1	0.000	0.000	1	138.84	5312	5312	0.50		0	85
1	#	1	0	1	#	1	0.227	0.744	1	170.13	5872	5360	0.67		29	39
1	0	#	#	#	#	0	0.029	0.493	1	173.53	5989	5413	0.33		72	146
#	1	0	#	0	0	0	0.203	0.727	1	161.39	5970	5458	0.67		24	33
#	0	1	#	1	#	0	0.000	0.000	1	186.48	5470	5470	0.50		0	65
#	1	#	#	#	#	0	0.030	0.496	1	144.09	5999	5533	0.17		116	234
0	1	#	1	#	#	0	0.000	0.000	1	153.17	5589	5589	0.50		0	53
#	#	1	#	#	0	0	0.031	0.500	1	155.80	5999	5605	0.33		50	100
1	0	#	#	1	#	0	0.000	0.000	1	169.40	5609	5609	0.50		0	49
#	0	#	1	#	#	0	0.030	0.495	1	157.13	5951	5631	0.33		45	91
#	1	#	0	1	1	0	0.023	0.471	1	145.80	5981	5725	0.67		8	17
#	#	0	0	#	1	1	0.014	0.423	1	151.45	5985	5773	0.50		11	26
#	#	0	#	1	1	1	0.132	0.667	1	153.68	5985	5793	0.50		18	27
1	0	1	0	#	0	0	0.031	0.500	1	173.00	5989	5925	0.83		1	2
#	1	0	#	0	1	1	0.024	0.751	1	142.87	5996	5996	0.67		0	0
1	#	1	1	#	0	0	0.024	0.751	1	163.32	5999	5999	0.67		0	0
